Grade,American Indian or Alaska Native,Asian,Black,Hispanic,"White",Native Hawaiian or Pacific Islander,"Non-Hispanic, two or more races"
KG,,13,35,30,111,,21
G1,,237,362,310,1603,11,271
G2,11,469,834,687,3256,14,466
G3,17,1742,1569,1483,6716,29,1024
G4,33,2368,1843,1810,8638,17,1213
G5,39,2686,2094,2050,9851,40,1328
G6,47,3005,2021,2025,10490,29,1343
G7,36,2703,2426,2007,10744,31,1305
G8,32,2792,2175,1799,10520,41,1177
G9,34,2527,2119,1593,10236,44,1211
G10,32,2509,1886,1386,10414,26,1056
G11,36,2213,1821,1260,9781,28,923
G12,26,2144,1707,1276,9775,25,906