District,General Intellectual Aptitude (GIA),Specific Academic Aptitude (SAA) - English,Specific Academic Aptitude (SAA) - Mathematics,Specific Academic Aptitude (SAA) - History/Social Science,Specific Academic Aptitude (SAA) - Science,Visual and/or Performing Arts Aptitude (VPA),Career and Technical Aptitude (CTA)
Caroline,1,1,1,0,0,1,0
Charles City County,0,1,1,0,0,0,0
Chesterfield,1,1,1,1,1,1,1
Colonial Beach,1,0,0,0,0,1,0
Colonial Heights,1,0,0,0,0,0,0
Dinwiddie,1,0,0,0,0,0,0
Fredericksburg,1,0,0,0,0,1,0
Gloucester,1,1,1,0,0,0,0
Goochland,1,1,1,0,0,1,0
Hanover,1,1,1,0,0,0,0
Hopewell,1,1,1,0,0,1,1
King and Queen,1,1,1,0,0,0,0
King George,0,1,1,0,0,0,0
King William,1,1,1,1,1,0,0
Lancaster,1,0,0,0,0,1,0
Mathews,1,1,1,0,0,0,0
Middlesex,1,1,1,0,0,0,0
Northumberland,1,0,0,0,0,1,0
Petersburg,1,1,1,0,0,0,0
Powhatan,0,1,1,0,0,1,0
Richmond City,1,0,1,0,0,1,1
Spotsylvania,1,0,0,0,0,0,0
Stafford,1,1,1,0,0,1,0
Surry,1,0,1,0,0,1,0
Sussex,1,0,0,0,0,0,0
West Point,0,1,1,0,0,1,1
Westmoreland,1,1,1,0,0,0,0